Date,Bumble bee species,x,y
2-Jun-20,B. appositus (white-shouldered bumble bee),-111.8609028,40.737798
8-Jul-20,B. appositus (white-shouldered bumble bee),-111.8037368,40.62269608
9-Jul-20,B. appositus (white-shouldered bumble bee),-111.7111693,40.31983298
12-Jul-20,B. appositus (white-shouldered bumble bee),-111.6230876,40.58261465
5-Aug-20,B. appositus (white-shouldered bumble bee),-111.6918884,40.67944911
5-Aug-20,B. appositus (white-shouldered bumble bee),-111.7012235,40.69396322
23-Aug-20,B. appositus (white-shouldered bumble bee),-111.6361073,40.59308566
1-Sep-20,B. appositus (white-shouldered bumble bee),-111.9558231,40.6336593
1-Sep-20,B. appositus (white-shouldered bumble bee),-111.625472,40.588963
1-Sep-20,B. appositus (white-shouldered bumble bee),-111.625472,40.588963
7-Sep-20,B. appositus (white-shouldered bumble bee),-111.5394223,40.62444998
14-Sep-20,B. appositus (white-shouldered bumble bee),-112.1183628,41.2768111
30-May-21,B. appositus (white-shouldered bumble bee),-111.8650401,40.72734692
2-Jun-21,B. appositus (white-shouldered bumble bee),-111.43064,41.93978
9-Jun-21,B. appositus (white-shouldered bumble bee),-111.5388946,40.71380865
30-Jun-21,B. appositus (white-shouldered bumble bee),-111.825,40.7628
30-Jun-21,B. appositus (white-shouldered bumble bee),-111.823,40.76587
11-Jul-21,B. appositus (white-shouldered bumble bee),-111.869,41.22955
13-Jul-21,B. appositus (white-shouldered bumble bee),-112.84,37.66274
13-Jul-21,B. appositus (white-shouldered bumble bee),-112.84,37.66275
16-Jul-21,B. appositus (white-shouldered bumble bee),-111.647,40.59355
17-Jul-21,B. appositus (white-shouldered bumble bee),-111.762,40.69156
21-Jul-21,B. appositus (white-shouldered bumble bee),-113.901,39.87843
21-Jul-21,B. appositus (white-shouldered bumble bee),-113.901,39.87847
21-Jul-21,B. appositus (white-shouldered bumble bee),-113.903,39.87916
21-Jul-21,B. appositus (white-shouldered bumble bee),-113.904,39.8799
21-Jul-21,B. appositus (white-shouldered bumble bee),-111.62,40.58309
22-Jul-21,B. appositus (white-shouldered bumble bee),-113.897,39.87543
22-Jul-21,B. appositus (white-shouldered bumble bee),-113.896,39.87547
22-Jul-21,B. appositus (white-shouldered bumble bee),-113.894,39.8755
24-Jul-21,B. appositus (white-shouldered bumble bee),-111.662,40.66458
25-Jul-21,B. appositus (white-shouldered bumble bee),-111.632,40.68674
28-Jul-21,B. appositus (white-shouldered bumble bee),-111.238,40.90108
29-Jul-21,B. appositus (white-shouldered bumble bee),-111.367,39.65563
29-Jul-21,B. appositus (white-shouldered bumble bee),-111.367,39.65576
29-Jul-21,B. appositus (white-shouldered bumble bee),-111.367,39.6559
29-Jul-21,B. appositus (white-shouldered bumble bee),-111.367,39.65592
29-Jul-21,B. appositus (white-shouldered bumble bee),-111.367,39.65606
3-Aug-21,B. appositus (white-shouldered bumble bee),-111.53,40.70855
8-Aug-21,B. appositus (white-shouldered bumble bee),-111.55,40.45815
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.896,39.87538
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.896,39.8754
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.896,39.87542
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.897,39.87548
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.897,39.8755
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.896,39.87554
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.896,39.87554
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.896,39.87557
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.895,39.87572
11-Aug-21,B. appositus (white-shouldered bumble bee),-113.908,39.88258
11-Aug-21,B. appositus (white-shouldered bumble bee),-111.189,40.17741
13-Aug-21,B. appositus (white-shouldered bumble bee),-111.614,40.5779
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.451,39.30208
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.451,39.30208
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.451,39.30208
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.446,39.31056
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.446,39.31056
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.469,39.32078
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.469,39.32078
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.469,39.32078
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.469,39.32078
21-Aug-21,B. appositus (white-shouldered bumble bee),-111.49,39.32452
22-Aug-21,B. appositus (white-shouldered bumble bee),-111.643,40.81875
26-Aug-21,B. appositus (white-shouldered bumble bee),-111.618,40.57276
26-Aug-21,B. appositus (white-shouldered bumble bee),-111.618,40.57276
26-Aug-21,B. appositus (white-shouldered bumble bee),-111.614,40.57471
26-Aug-21,B. appositus (white-shouldered bumble bee),-111.614,40.57471
26-Aug-21,B. appositus (white-shouldered bumble bee),-111.614,40.57471
26-Aug-21,B. appositus (white-shouldered bumble bee),-111.614,40.57512
29-Aug-21,B. appositus (white-shouldered bumble bee),-111.824,40.76619
29-Aug-21,B. appositus (white-shouldered bumble bee),-111.825,40.76646
27-Jul-22,B. appositus (white-shouldered bumble bee),-111.8498226,38.58487462
28-Jul-22,B. appositus (white-shouldered bumble bee),-109.250965,38.42091
28-Jul-22,B. appositus (white-shouldered bumble bee),-109.251845,38.42054
28-Jul-22,B. appositus (white-shouldered bumble bee),-109.252174,38.42087
28-Jul-22,B. appositus (white-shouldered bumble bee),-109.2515962,38.42057355
28-Jul-22,B. appositus (white-shouldered bumble bee),-109.2520472,38.42036505
28-Jul-22,B. appositus (white-shouldered bumble bee),-109.25206,38.41943
29-Jul-22,B. appositus (white-shouldered bumble bee),-109.2786361,38.47701757
29-Jul-22,B. appositus (white-shouldered bumble bee),-109.2786053,38.477012
29-Jul-22,B. appositus (white-shouldered bumble bee),-109.2786053,38.47701
30-Jul-22,B. appositus (white-shouldered bumble bee),-109.2788227,38.47696812
