Date,Bumble bee species,x,y
4/20/2020,B. huntii (Hunt's bumble bee),-111.8227887,41.65432103
4/28/2020,B. griseocollis (brown-belted bumble bee),-109.9827277,40.27257845
4/28/2020,B. huntii (Hunt's bumble bee),-109.9825533,40.27262602
4/28/2020,B. nevadensis (Nevada bumble bee),-109.9825274,40.27269605
4/29/2020,B. huntii (Hunt's bumble bee),-109.9954349,40.28439106
5/3/2020,B. huntii (Hunt's bumble bee),-109.9442904,40.18290385
5/5/2020,B. huntii (Hunt's bumble bee),-112.7103061,37.05021267
5/6/2020,B. griseocollis (brown-belted bumble bee),-111.888342,40.42655338
5/10/2020,B. fervidus (golden northern bumble bee),-109.982572,40.27271759
5/11/2020,B. griseocollis (brown-belted bumble bee),-109.9828109,40.27333057
5/11/2020,B. griseocollis (brown-belted bumble bee),-109.9829623,40.27346832
5/11/2020,B. huntii (Hunt's bumble bee),-109.9824853,40.2727696
5/11/2020,B. huntii (Hunt's bumble bee),-111.8005749,40.65184471
5/13/2020,B. fervidus (golden northern bumble bee),-109.9442771,40.1829238
5/13/2020,B. nevadensis (Nevada bumble bee),-109.8777323,40.24301652
5/15/2020,B. huntii (Hunt's bumble bee),-109.9825211,40.27269127
5/16/2020,B. nevadensis (Nevada bumble bee),-111.7859824,40.44135894
5/19/2020,B. huntii (Hunt's bumble bee),-111.909187,41.17865451
5/25/2020,B. fervidus (golden northern bumble bee),-111.8574117,40.63257089
5/25/2020,B. huntii (Hunt's bumble bee),-109.6361319,40.54376843
5/25/2020,B. morrisoni (Morrison's bumble bee),-109.6360719,40.54362823
5/31/2020,B. bifarius (two-form bumble bee),-111.0808066,40.54590378
5/31/2020,B. bifarius (two-form bumble bee),-111.0908712,40.54619755
5/31/2020,B. bifarius (two-form bumble bee),-110.9389715,40.63284378
5/31/2020,B. insularis (indiscriminate cuckoo bumble bee),-111.0825827,40.54791188
6/2/2020,B. appositus (white-shouldered bumble bee),-111.8609028,40.737798
6/2/2020,B. bifarius (two-form bumble bee),-111.6620871,40.64977824
6/2/2020,B. centralis (central bumble bee),-111.66214,40.64941675
6/3/2020,B. griseocollis (brown-belted bumble bee),-109.6977626,40.18154507
6/4/2020,B. fervidus (golden northern bumble bee),-111.924537,40.6328029
6/5/2020,B. insularis (indiscriminate cuckoo bumble bee),-111.7365911,40.81163683
6/9/2020,B. nevadensis (Nevada bumble bee),-111.8252886,40.43173305
6/10/2020,B. centralis (central bumble bee),-111.6385758,40.72027428
6/10/2020,B. griseocollis (brown-belted bumble bee),-110.9679146,39.35458398
6/11/2020,B. centralis (central bumble bee),-112.3751612,39.96001221
6/11/2020,B. griseocollis (brown-belted bumble bee),-111.8951535,40.41837832
6/11/2020,B. griseocollis (brown-belted bumble bee),-111.8042717,40.62222901
6/11/2020,B. morrisoni (Morrison's bumble bee),-108.6152514,40.45400135
6/12/2020,B. bifarius (two-form bumble bee),-111.627237,40.5895323
6/12/2020,B. griseocollis (brown-belted bumble bee),-111.7110756,40.31961316
6/12/2020,B. insularis (indiscriminate cuckoo bumble bee),-111.8224639,40.77230073
6/13/2020,B. huntii (Hunt's bumble bee),-111.8616514,41.22721402
6/13/2020,B. nevadensis (Nevada bumble bee),-108.9078912,40.47916495
6/14/2020,B. centralis (central bumble bee),-111.7112374,40.31983063
6/14/2020,B. fervidus (golden northern bumble bee),-111.8693096,41.22512077
6/14/2020,B. nevadensis (Nevada bumble bee),-111.6045664,40.70817398
6/16/2020,B. flavifrons (yellow-fronted bumble bee),-111.8241487,40.77988773
6/16/2020,B. huntii (Hunt's bumble bee),-109.9827292,40.27251403
6/18/2020,B. griseocollis (brown-belted bumble bee),-109.6983791,40.18170885
6/18/2020,B. morrisoni (Morrison's bumble bee),-111.8576938,41.72660672
6/20/2020,B. griseocollis (brown-belted bumble bee),-111.8231092,40.76741782
6/21/2020,B. huntii (Hunt's bumble bee),-111.710995,40.31972959
6/22/2020,B. bifarius (two-form bumble bee),-111.6417286,40.71895712
6/22/2020,B. rufocinctus (red-belted bumble bee),-111.6434044,40.71799438
6/22/2020,B. rufocinctus (red-belted bumble bee),-111.6417329,40.7190264
6/23/2020,B. morrisoni (Morrison's bumble bee),-111.6068304,40.70174429
6/24/2020,B. rufocinctus (red-belted bumble bee),-111.6059748,40.70364732
6/26/2020,B. huntii (Hunt's bumble bee),-111.6233455,40.57069816
6/26/2020,B. nevadensis (Nevada bumble bee),-111.8414505,41.04500761
6/27/2020,B. griseocollis (brown-belted bumble bee),-111.742108,40.39353316
6/28/2020,B. morrisoni (Morrison's bumble bee),-109.5792029,38.60986438
6/30/2020,B. huntii (Hunt's bumble bee),-111.8038218,40.6228687
7/1/2020,B. griseocollis (brown-belted bumble bee),-111.7111407,40.31964019
7/1/2020,B. griseocollis (brown-belted bumble bee),-109.6352524,40.54407381
7/1/2020,B. huntii (Hunt's bumble bee),-111.7110918,40.31990364
7/3/2020,B. flavifrons (yellow-fronted bumble bee),-111.639185,40.58683894
7/3/2020,B. griseocollis (brown-belted bumble bee),-111.8190923,40.76395282
7/3/2020,B. huntii (Hunt's bumble bee),-111.8176676,40.76261353
7/4/2020,B. fervidus (golden northern bumble bee),-109.9442655,40.18309373
7/4/2020,B. griseocollis (brown-belted bumble bee),-110.1425394,40.18922015
7/5/2020,B. griseocollis (brown-belted bumble bee),-111.7109388,40.31996076
